unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude
8d762fef9b22db53213166521786bd2f1a0e1ce2,6d8a9d48d863131786c9d1e2bd3aa97742ae6a0b20ff948f471f83e4a5c766ccc6b01e40ed8707b61d9b228a754014520e171df9ea86f0ecc3b54214f36800db,2014-05-19 23:15:00.000000 UTC,2014-05-19 23:15:00.000000 UTC,60,1.5,5.85,0.0,0.0,0.0,5.85,Cash,,,
c2829769073108a77d035e108eeb342c345f43d7,6d8a9d48d863131786c9d1e2bd3aa97742ae6a0b20ff948f471f83e4a5c766ccc6b01e40ed8707b61d9b228a754014520e171df9ea86f0ecc3b54214f36800db,2014-05-20 00:15:00.000000 UTC,2014-05-20 00:30:00.000000 UTC,1260,13.3,28.45,0.0,0.0,3.0,31.45,Cash,,,
c53a7e40911220405ff70d18a1a63d6ab0d94049,204038fd83bc1b9a8e79d7b886057c98f3fd4b1cf37dfd7c545e692e35c9634a0551946938d487fd1b2a993f02ae699bf116091ffada68d3e8d7ac430cb8f219,2014-09-28 02:45:00.000000 UTC,2014-09-28 02:45:00.000000 UTC,0,0.0,10.25,2.05,0.0,0.0,12.3,Credit Card,Chicago Elite Cab Corp.,,
020535d10c4f1db3d143243571a34c1985c5c55b,46a383b53e473df8617b6b7d016e74c1a27d68b2362f50e9eaed91265b5aac244a51fdb4728e88b1ee7aaa919d6907cd58a3c35cafd97d8faf9e477cabe1d0e8,2014-10-03 08:15:00.000000 UTC,2014-10-03 08:15:00.000000 UTC,0,0.0,29.65,7.41,0.0,0.0,37.06,Credit Card,Chicago Elite Cab Corp.,,
7a1a386a7970108c1e34401f97d9159732ada84c,c58aa70bab19decb5077c46ae3335717f0bf219a1adb7c1a5067f78b12d94915e2058274ab4356b72925309396a77cfba36c2098b8195fe6c1b1c20fe8ba563d,2014-09-19 00:15:00.000000 UTC,2014-09-19 00:15:00.000000 UTC,0,0.0,7.25,2.18,0.0,0.0,9.43,Credit Card,Chicago Elite Cab Corp.,,
345f755538352092f8fa060dad80e2208bd2170b,129c8726fd35b2044735d92600d02e2f8b6a54f5d80919972adfce76423f37fa4de34a9d2425b4954b866d5c407bd9ca7dd226727c8077faacdb5ec4691958a7,2014-09-19 02:00:00.000000 UTC,2014-09-19 02:00:00.000000 UTC,0,0.0,8.25,1.65,0.0,0.0,9.9,Credit Card,Chicago Elite Cab Corp.,,
acfa0f9e726148c96cf6ebfceb69b870b3f3ae00,40c2ee15a52c7c390c11a77871240593956d41a7946bb33e37f517b1ffe5cc9af4b640fa3cb331378829a69c2a714d322aa88736a3e9def79dd66b14f3616801,2014-10-07 17:15:00.000000 UTC,2014-10-07 17:15:00.000000 UTC,0,0.0,10.25,2.05,0.0,0.0,12.3,Credit Card,Chicago Elite Cab Corp.,,
8960d62b15bb55c371adae1dfdfbd79063601b9b,249a3fe25c84eb83b51c0532f1e75da7adc6c82187852062daa2015c4fd4f59a0cd1854c8a443af1d590af3b1dd8461bffc9357a073fdfb369b39f0229db1b4f,2014-09-28 02:45:00.000000 UTC,2014-09-28 02:45:00.000000 UTC,420,0.7,5.65,2.0,0.0,1.0,8.65,Credit Card,Choice Taxi Association,,
8058338af7ec4789ce5378949a2e0ef8b0d13c26,9bc3b89d49a30e5990cd30232c8caf69a5774903e9de81491a60352170bfa61314e5bdf842aa816fb92fa8daa7f16f465da67f7eb12b0f6c02da37359b20a3cb,2014-10-04 16:30:00.000000 UTC,2014-10-04 16:30:00.000000 UTC,0,0.0,9.65,2.41,0.0,0.0,12.06,Credit Card,Chicago Elite Cab Corp.,,
42e7424f18f039109cb6aa252155b69a93e18bac,51c524f104bfb435ca69243dc44a846540a40538ee821fe2d3671b8976c1a0d0b2dc7302f3b952421a975cb41ce19d5edba5afbb2e677e5e9b3d82f44690591e,2014-09-11 17:00:00.000000 UTC,2014-09-11 17:45:00.000000 UTC,3060,1.0,38.85,0.0,0.0,3.0,41.85,Cash,Taxi Affiliation Services,,
dd106bdec6bd759fe5d9f76f1e210974f519bab3,8c97ba8f6ab87c179de59330e994c1dcf57de41fb516d6779ec8f4e2928cb2f86403bb19fe5ef6ad2dddbddec0a5520ec654c4f6d5e58e6168cbec51244e308c,2014-10-07 18:00:00.000000 UTC,2014-10-07 18:00:00.000000 UTC,0,0.0,6.85,0.0,0.0,0.0,6.85,Credit Card,Chicago Elite Cab Corp.,,
cd51e4943be55cd04d69c7872f9fd6979630c40d,199cdc36e88754114b867e974f41cfb3252a6755a55d27fa0a37f02e110e92827a576632f0fd80b0f8c9a862b2456e2f99a574c0146448a3241adf55b08be576,2014-10-19 00:30:00.000000 UTC,2014-10-19 00:30:00.000000 UTC,0,0.0,12.85,2.57,0.0,0.0,15.42,Credit Card,Chicago Elite Cab Corp.,,
f5bd84d93f39c9327d31e2b6e7eb3edef6ee9c28,ccc4432b3e00818128797b7db207e8b7e218f99c94ddece983525d9bd0ba7bae94748030bccedcc427cb87270b17d4c856e92cbe38a586b9c8770d491b69b69f,2014-09-11 19:30:00.000000 UTC,2014-09-11 19:30:00.000000 UTC,0,0.0,14.45,2.0,0.0,0.0,16.45,Credit Card,Chicago Elite Cab Corp.,,
d099ed67625951747188cb0d5ca9e11a497d6e39,daf945fb8e25eb32a49824dda26e56441467cdb86f7d9d20696036ff98eb8ba07ee7f45907174f270cb9cc9de88f0e8fc6a69d73956307d649bfdeb30307a43c,2014-09-19 14:15:00.000000 UTC,2014-09-19 14:15:00.000000 UTC,0,0.0,16.85,3.15,0.0,0.0,20.0,Credit Card,Chicago Elite Cab Corp.,,
0e27272b4a6e826657502ce80e1aee4d4a137621,e5d537bf6ab94a125f8c2d3d42a07ea681c6c669463b71eb8e781fff77a26c81a41f114b1c2d37523621a0b9fe65eba50a6abc075f9cc3153da1053f1f47a701,2014-09-19 19:00:00.000000 UTC,2014-09-19 19:00:00.000000 UTC,0,0.0,7.25,1.81,0.0,0.0,9.06,Credit Card,Chicago Elite Cab Corp.,,
891035448dd3ebd0be299e40b721bb2296805976,e61ce97d61bec30e506e2ff56ea034ad7c06cc6a0a4c0f83796c2c84af963f8f28541f8277b47b5ee5b7d00b5a57b9e4e32c58900f34f11e7185f27e2274137b,2014-09-11 19:45:00.000000 UTC,2014-09-11 20:00:00.000000 UTC,360,0.5,5.45,0.0,0.0,0.0,5.45,Cash,Chicago Medallion Management,,
881b477672f70cf425f8084de143bdbfb599c2d9,e3231f11a2e775788c4bcc58852ae4d4e3b2d78e8a2cb482b9fbdb5bf1830d8dae2ca6bb57db22d6114520b480fc36a1230e7ad84611c41004be995076d7a898,2014-11-04 15:45:00.000000 UTC,2014-11-04 15:45:00.000000 UTC,0,0.0,40.65,0.0,0.0,0.0,40.65,Credit Card,T.A.S. - Payment Only,,
a426cfa6f1613108b022e636e317d37055a3b20f,7106196249d9702fda7688e088502293990deeb7b10cb1cb476c0a9133aad40f715b212398b1e2fb383b694e8afb355a1dd9efb717e99e20c1abbb740f2548fe,2014-10-06 09:45:00.000000 UTC,2014-10-06 09:45:00.000000 UTC,0,0.0,7.45,1.49,0.0,0.0,8.94,Credit Card,Chicago Elite Cab Corp.,,
dd4455bf81a8066d82e66e8a46480bb503ea6312,7a3ea6574e92c55cb68c90d7bb4a7c4b15d84a53594644a7e09e63416e1c890163ffdf7a122273398304dc67463f0b0f065b1647d7a430799f59e09192462c10,2014-09-19 16:15:00.000000 UTC,2014-09-19 16:15:00.000000 UTC,0,0.0,16.25,4.06,0.0,0.0,20.31,Credit Card,Chicago Elite Cab Corp.,,
dcdb6119bb32ccbbfa01d0c301647156401079d0,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 09:15:00.000000 UTC,2014-04-18 09:30:00.000000 UTC,600,2.1,8.44,0.0,0.0,0.0,8.44,Cash,,,
d08f715d3be99ec08da1f312af589b5b9858d464,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 10:15:00.000000 UTC,2014-04-18 10:15:00.000000 UTC,120,0.6,4.45,0.0,0.0,0.0,4.45,Cash,,,
11bd59731a536fcb4be055393852b8b37ca7540a,79ed9ac0abaaf810157e54af0f923489a9560aa0310479042d1306cf7733f7567d532c47d0818bcc24f0ca37bed364cef8006e663bfa61a3e95715a50d9ea729,2014-10-18 23:00:00.000000 UTC,2014-10-18 23:00:00.000000 UTC,0,0.0,50.25,0.0,0.0,0.0,50.25,Credit Card,Chicago Elite Cab Corp.,,
a27414da064c06e9d6d51b99384144d87e7e3a96,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 10:30:00.000000 UTC,2014-04-18 10:45:00.000000 UTC,1020,4.4,13.25,0.0,0.0,0.0,13.25,Cash,,,
11c09e29b4d777ba16b52ba539c2c8bf6c735a0e,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 10:45:00.000000 UTC,2014-04-18 10:45:00.000000 UTC,480,2.3,8.25,0.0,0.0,0.0,8.25,Cash,,,
1e07f7fdb2b892fdba02e83d278b04c003d8fbc6,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 11:30:00.000000 UTC,2014-04-18 11:45:00.000000 UTC,660,1.9,8.25,0.0,0.0,0.0,8.25,Cash,,,
7220f0ee6e406cd8bebbcaf794f2f1f551d8f289,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 11:15:00.000000 UTC,2014-04-18 11:15:00.000000 UTC,480,1.9,7.25,2.0,0.0,0.0,9.25,Credit Card,,,
ce2e0561fa99dcf715e8d7f8d4f1bc9c9cc27b13,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 09:00:00.000000 UTC,2014-04-18 09:15:00.000000 UTC,600,1.7,7.65,1.5,0.0,0.0,9.15,Credit Card,,,
537f596e189a5338c59bd1fae504fd0dd819e70d,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 09:45:00.000000 UTC,2014-04-18 10:00:00.000000 UTC,480,2.1,7.65,0.0,0.0,0.0,7.65,Cash,,,
88d98abf2d870ae612ef54ce15a6039891062f60,ac3197af61ac119894f5d339834595e2d1e28f8d6609e733836f0531050ef232f1384b8bdaa9151f924c89474b785ede77db2cbb3da5a9eef82370c9079784cb,2014-04-18 11:00:00.000000 UTC,2014-04-18 11:00:00.000000 UTC,180,0.6,4.65,2.0,0.0,0.0,6.65,Credit Card,,,
